,match_rate
04549,1.0
04561,0.0
04233,1.0
04523,1.0
04341,1.0
04524,1.0
04381,1.0
04461,1.0
04537,1.0
04274,1.0
04243,1.0
04273,1.0
04472,1.0
04394,1.0
04478,1.0
04379,1.0
04449,1.0
04444,1.0
04326,1.0
04437,1.0
04369,1.0
04376,1.0
04228,1.0
04335,1.0
04430,1.0
04417,1.0
04507,1.0
04385,1.0
04295,0.5
04352,1.0
04201,1.0
04300,1.0
04460,1.0
04217,1.0
04299,1.0
04308,1.0
04279,1.0
04558,1.0
04487,1.0
04397,1.0
04388,1.0
04311,1.0
04573,1.0
04572,1.0
04239,1.0
04301,1.0
04535,1.0
04309,1.0
04349,1.0
04481,1.0
04467,1.0
04454,1.0
04556,1.0
04297,1.0
04525,1.0
04506,1.0
04473,1.0
04446,1.0
04418,1.0
04412,1.0
04451,1.0
04409,1.0
04358,1.0
04320,1.0
04372,1.0
04456,1.0
04212,1.0
04509,1.0
04428,1.0
04229,1.0
04496,1.0
04580,1.0
04559,1.0
04579,1.0
04288,1.0
04343,1.0
04548,1.0
04400,1.0
04407,1.0
04424,1.0
04520,1.0
04302,1.0
04431,1.0
04256,1.0
04494,1.0
04380,1.0
04513,1.0
04577,1.0
04403,1.0
04261,1.0
04213,1.0
04374,1.0
04315,1.0
04331,1.0
04360,1.0
04312,1.0
04512,1.0
04371,1.0
04482,1.0
04433,1.0
04395,1.0
04226,1.0
04392,1.0
04322,1.0
04471,1.0
04463,1.0
02463,1.0
04219,1.0
04415,1.0
04479,1.0
04202,1.0
04539,1.0
04337,1.0
04435,1.0
04324,1.0
04319,1.0
04336,1.0
04347,1.0
04545,1.0
04411,1.0
04500,1.0
04488,1.0
04365,1.0
04367,1.0
04484,1.0
04429,1.0
04529,1.0
04404,1.0
04522,1.0
04366,1.0
04560,1.0
04334,1.0
04436,1.0
04368,1.0
04485,1.0
04252,1.0
04551,1.0
04361,1.0
04323,1.0
04408,1.0
04350,1.0
04505,1.0
04414,1.0
04564,1.0
04489,1.0
04563,1.0
04434,1.0
04557,1.0
04316,1.0
04511,1.0
04493,1.0
04344,1.0
04540,1.0
04387,1.0
04370,1.0
04286,1.0
04410,1.0
04425,1.0
04265,1.0
04378,1.0
04339,1.0
04531,1.0
04382,1.0
04222,1.0
04227,1.0
04402,1.0
04519,1.0
04427,1.0
04515,1.0
04327,1.0
04575,1.0
04432,1.0
04495,1.0
04527,1.0
04569,1.0
04386,1.0
04470,1.0
04282,1.0
04422,1.0
04553,1.0
04419,1.0
04516,1.0
04305,1.0
04533,1.0
04423,1.0
04221,1.0
04530,1.0
04207,1.0
04514,1.0
04203,1.0
04211,1.0
04453,1.0
